,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
0,2023-01-01,Pb-Agua Branca,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
1,2023-01-01,Pb-Agua Branca,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
2,2023-01-01,Pb-Agua Branca,Outras Atividades de Serviços,-1,Homem,1
3,2023-01-01,Pb-Aguiar,Indústrias de Transformação,1,Homem,4
4,2023-01-01,Pb-Alagoa Grande,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,1
5,2023-01-01,Pb-Alagoa Grande,Alojamento e Alimentação,-1,Mulher,1
6,2023-01-01,Pb-Alagoa Grande,Atividades Administrativas e Serviços Complementares,1,Homem,4
7,2023-01-01,Pb-Alagoa Grande,Atividades Administrativas e Serviços Complementares,1,Mulher,2
8,2023-01-01,Pb-Alagoa Grande,"Atividades Profissionais, Científicas e Técnicas",1,Homem,1
9,2023-01-01,Pb-Alagoa Grande,"Atividades Profissionais, Científicas e Técnicas",1,Mulher,1
10,2023-01-01,Pb-Alagoa Grande,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,3
11,2023-01-01,Pb-Alagoa Grande,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
12,2023-01-01,Pb-Alagoa Grande,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,6
13,2023-01-01,Pb-Alagoa Grande,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,2
14,2023-01-01,Pb-Alagoa Grande,Indústrias Extrativas,-1,Homem,2
15,2023-01-01,Pb-Alagoa Grande,Indústrias de Transformação,-1,Homem,4
16,2023-01-01,Pb-Alagoa Grande,Informação e Comunicação,-1,Mulher,1
17,2023-01-01,Pb-Alagoa Nova,"Administração Pública, Defesa e Seguridade Social",-1,Homem,1
18,2023-01-01,Pb-Alagoa Nova,"Administração Pública, Defesa e Seguridade Social",-1,Mulher,4
19,2023-01-01,Pb-Alagoa Nova,"Administração Pública, Defesa e Seguridade Social",1,Homem,1
20,2023-01-01,Pb-Alagoa Nova,"Administração Pública, Defesa e Seguridade Social",1,Mulher,4
21,2023-01-01,Pb-Alagoa Nova,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,1
22,2023-01-01,Pb-Alagoa Nova,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,2
23,2023-01-01,Pb-Alagoa Nova,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,2
24,2023-01-01,Pb-Alagoa Nova,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,3
25,2023-01-01,Pb-Alagoa Nova,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
26,2023-01-01,Pb-Alagoa Nova,Construção,-1,Homem,2
27,2023-01-01,Pb-Alagoa Nova,Construção,1,Homem,3
28,2023-01-01,Pb-Alagoa Nova,Indústrias de Transformação,-1,Homem,18
29,2023-01-01,Pb-Alagoa Nova,Indústrias de Transformação,-1,Mulher,27
30,2023-01-01,Pb-Alagoinha,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,1
31,2023-01-01,Pb-Alagoinha,Alojamento e Alimentação,-1,Mulher,1
32,2023-01-01,Pb-Alagoinha,Atividades Administrativas e Serviços Complementares,1,Homem,5
33,2023-01-01,Pb-Alagoinha,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
34,2023-01-01,Pb-Alagoinha,Construção,-1,Homem,1
35,2023-01-01,Pb-Alagoinha,Construção,1,Homem,3
36,2023-01-01,Pb-Alagoinha,Indústrias de Transformação,-1,Mulher,1
37,2023-01-01,Pb-Alagoinha,Informação e Comunicação,-1,Mulher,1
38,2023-01-01,Pb-Alagoinha,"Transporte, Armazenagem e Correio",-1,Homem,1
39,2023-01-01,Pb-Alhandra,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,19
40,2023-01-01,Pb-Alhandra,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Mulher,5
41,2023-01-01,Pb-Alhandra,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,18
42,2023-01-01,Pb-Alhandra,Alojamento e Alimentação,-1,Mulher,1
43,2023-01-01,Pb-Alhandra,Alojamento e Alimentação,1,Homem,2
44,2023-01-01,Pb-Alhandra,Atividades Administrativas e Serviços Complementares,-1,Homem,1
45,2023-01-01,Pb-Alhandra,Atividades Imobiliárias,-1,Homem,3
46,2023-01-01,Pb-Alhandra,Atividades Imobiliárias,1,Homem,7
47,2023-01-01,Pb-Alhandra,"Atividades Profissionais, Científicas e Técnicas",-1,Mulher,1
48,2023-01-01,Pb-Alhandra,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,50
49,2023-01-01,Pb-Alhandra,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,30
50,2023-01-01,Pb-Alhandra,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,9
51,2023-01-01,Pb-Alhandra,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,11
52,2023-01-01,Pb-Alhandra,Construção,-1,Homem,13
53,2023-01-01,Pb-Alhandra,Construção,-1,Mulher,1
54,2023-01-01,Pb-Alhandra,Construção,1,Homem,54
55,2023-01-01,Pb-Alhandra,Construção,1,Mulher,8
56,2023-01-01,Pb-Alhandra,Educação,1,Mulher,1
57,2023-01-01,Pb-Alhandra,Indústrias de Transformação,-1,Homem,14
58,2023-01-01,Pb-Alhandra,Indústrias de Transformação,-1,Mulher,6
59,2023-01-01,Pb-Alhandra,Indústrias de Transformação,1,Homem,14
60,2023-01-01,Pb-Alhandra,Indústrias de Transformação,1,Mulher,4
61,2023-01-01,Pb-Alhandra,Informação e Comunicação,-1,Homem,37
